step,S,V,omega,R,J,K,N,state
0,0.06404822030150016,0.01235556112306904,0.009294118284236407,0.09215415065160608,0.12,0.07999999999999996,200,Static Async
100,0.1123723658410307,0.0006062017409019229,0.01395242052614798,0.169985442975374,0.12,0.07999999999999996,200,Transitioning
200,0.17008431681112357,0.0009914516233189541,0.023933383704302046,0.313503874603399,0.12,0.07999999999999996,200,Transitioning
300,0.2198916150782612,0.0009713104491098203,0.03038309797093921,0.5145329797325627,0.12,0.07999999999999996,200,Transitioning
400,0.20670888291832323,0.0004306824969831058,0.027880194207569244,0.708023275664513,0.12,0.07999999999999996,200,Transitioning
500,0.17459707848005362,0.0002265410146428149,0.020083978434619666,0.8489656815543216,0.12,0.07999999999999996,200,Transitioning
600,0.14272728511562566,0.0001372868786704129,0.012007743064314869,0.9247884177280281,0.12,0.07999999999999996,200,Transitioning
700,0.11923895893893248,9.347765276768455e-05,0.006807688619785979,0.9601548744782322,0.12,0.07999999999999996,200,Static Phase Wave
800,0.10477953944148269,8.276704052451178e-05,0.004015025178709175,0.9812782564211949,0.12,0.07999999999999996,200,Static Phase Wave
900,0.09124928424629822,6.0231668316113753e-05,0.0022657224606215777,0.9944582390837279,0.12,0.07999999999999996,200,Static Sync
1000,0.0814496450780066,4.134689832416126e-05,0.001101799043220808,0.998948878784169,0.12,0.07999999999999996,200,Static Sync
1100,0.07664182333057094,3.38473354124763e-05,0.0005168935282376275,0.9998297070612757,0.12,0.07999999999999996,200,Static Sync
1200,0.07439659402431338,3.142919486116535e-05,0.00024537132325046506,0.9999724103399019,0.12,0.07999999999999996,200,Static Sync
1300,0.07331023382411885,3.143882411486392e-05,0.00011718758284531283,0.9999953287210337,0.12,0.07999999999999996,200,Static Sync
1400,0.07277086044514751,3.051051360403445e-05,5.608373815793044e-05,0.999999162538082,0.12,0.07999999999999996,200,Static Sync
1500,0.07249498045963745,2.8682674147177278e-05,2.6879891841957714e-05,0.9999998408484838,0.12,0.07999999999999996,200,Static Sync
1600,0.0723401163446148,2.614787437737566e-05,1.287284411923828e-05,0.9999999681575623,0.12,0.07999999999999996,200,Static Sync
1700,0.07223318481787376,2.2273751131960787e-05,6.154519459089513e-06,0.9999999933655415,0.12,0.07999999999999996,200,Static Sync
