step,S,V,omega,R,J,K,N,state
0,0.03620480412866443,0.014037669902537273,0.028210222743178394,0.09754216948797113,0.0,-0.24,200,Static Async
100,0.022254156356194977,0.00018772197133194328,0.007672919436737024,0.01849401148981088,0.0,-0.24,200,Static Async
200,0.016007256275904273,0.00010245563187475309,0.005886506808728398,0.00544865125593223,0.0,-0.24,200,Static Async
300,0.011781935368488062,6.891123707394105e-05,0.00495582538407402,0.003415368104121741,0.0,-0.24,200,Static Async
400,0.009321227542648473,4.9848662297121064e-05,0.004275312101059958,0.0029225928170674596,0.0,-0.24,200,Static Async
500,0.00911090627813582,3.589023040734401e-05,0.0037396182950595104,0.002671844656018673,0.0,-0.24,200,Static Async
600,0.009153178908589464,2.5497069416047105e-05,0.0033153503779244976,0.0024354638668850365,0.0,-0.24,200,Static Async
700,0.008722581967445058,1.8876832964992114e-05,0.0029738277291433855,0.002205980627058136,0.0,-0.24,200,Static Async
800,0.008266834798298263,1.4983388780102848e-05,0.002686883742047774,0.002005057906763146,0.0,-0.24,200,Static Async
900,0.007946922845454481,1.2623486282087654e-05,0.002452793037066736,0.001843345998495386,0.0,-0.24,200,Static Async
1000,0.007768609550997617,1.1074950899598326e-05,0.0022635578143276993,0.0017230929949962812,0.0,-0.24,200,Static Async
1100,0.007691204105664987,1.0053110169675234e-05,0.0021122736154323583,0.0016414525313699008,0.0,-0.24,200,Static Async
1200,0.0076730670804257784,9.408510702402731e-06,0.0019921591379014727,0.0015926983297173925,0.0,-0.24,200,Static Async
1300,0.007684249235570962,9.054530670799592e-06,0.00188573208528795,0.0015700839592441176,0.0,-0.24,200,Static Async
1400,0.0077064444817576214,8.991721317411609e-06,0.0017910093442725205,0.0015670264425739567,0.0,-0.24,200,Static Async
1500,0.007729700300921218,9.162168344728407e-06,0.0017063435582186815,0.001577571850652848,0.0,-0.24,200,Static Async
1600,0.007749249278566787,9.452183869205044e-06,0.001630912140652474,0.0015965201718553884,0.0,-0.24,200,Static Async
1700,0.0077632553130263906,9.74003452234087e-06,0.0015644539341049147,0.001619569785143584,0.0,-0.24,200,Static Async
1800,0.007771261469859259,9.905456374893784e-06,0.0015027901784564035,0.0016435815741269381,0.0,-0.24,200,Static Async
1900,0.007772941924434287,9.925286391899684e-06,0.0014460413970029062,0.0016668218353357164,0.0,-0.24,200,Static Async
2000,0.007767320111018904,9.799069232150005e-06,0.0013960966824701827,0.0016889129409092148,0.0,-0.24,200,Static Async
2100,0.007752891099122548,9.574291726266469e-06,0.0013473224624818813,0.0017103134968477895,0.0,-0.24,200,Static Async
2200,0.007728289692059129,9.309047648090709e-06,0.0013020849950524881,0.001731551641145828,0.0,-0.24,200,Static Async
2300,0.0076927227203339105,9.048858570076009e-06,0.0012593744397783712,0.0017527492222079433,0.0,-0.24,200,Static Async
2400,0.0076460099297857055,8.80003206885865e-06,0.0012198369716044598,0.0017736975213988888,0.0,-0.24,200,Static Async
2500,0.007588493549383334,8.579644947531404e-06,0.0011841301674248462,0.0017942158878984477,0.0,-0.24,200,Static Async
2600,0.007520933907091887,8.413560960979876e-06,0.0011519043430004317,0.0018143929164039032,0.0,-0.24,200,Static Async
2700,0.007444366973044162,8.334327027857643e-06,0.0011231911670749328,0.001834572381026545,0.0,-0.24,200,Static Async
2800,0.007359911084032869,8.350126774792785e-06,0.0010993306273797908,0.0018552033181815847,0.0,-0.24,200,Static Async
2900,0.007268532641492848,8.466250011645043e-06,0.0010764647205142807,0.0018767123011502627,0.0,-0.24,200,Static Async
3000,0.007170759507972969,8.669511122158886e-06,0.0010546936403086349,0.001899449436044085,0.0,-0.24,200,Static Async
3100,0.007066350403210503,8.925753608879378e-06,0.0010337096075717644,0.0019236566008232828,0.0,-0.24,200,Static Async
3200,0.006954143864469064,9.186370537837907e-06,0.0010154210984153922,0.0019493653012863119,0.0,-0.24,200,Static Async
3300,0.006832686594491884,9.339015625579323e-06,0.0009997684690989717,0.001976165098062492,0.0,-0.24,200,Static Async
3400,0.006702026409086258,9.258192209989605e-06,0.0009844814025099069,0.0020029349010680206,0.0,-0.24,200,Static Async
3500,0.006565466912719702,8.924533503469305e-06,0.0009681093825391285,0.002027856286099413,0.0,-0.24,200,Static Async
3600,0.006429107739142366,8.417643665174484e-06,0.0009510167928358015,0.00204900180294468,0.0,-0.24,200,Static Async
