step,S,V,omega,R,J,K,N,state
0,0.06390162427182534,0.016388864599374085,0.0,0.04850728688176819,0.9,0.0,200,Static Async
100,0.4615935667657815,0.008457436828418614,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
200,0.9355183202401448,0.005681942820888206,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
300,0.995511874330068,0.0010728649778595242,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
400,0.9975108882973153,0.00035122152174916105,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
500,0.9978506169917195,0.0001649274082499104,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
600,0.99791395158188,0.00010602359951141214,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
700,0.9979361718600248,6.122187334286874e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
800,0.9979485596864005,4.054273158164317e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
900,0.9979563933592017,2.9703687188528757e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
1000,0.9979617958339712,2.4697344635541016e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
1100,0.997966113848937,2.3676937133314795e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
1200,0.9979714689991398,2.603791407793606e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
1300,0.9979790210932926,2.511235942249732e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
1400,0.9979832987928957,1.5932147587616176e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
1500,0.99798369386359,8.57604202920066e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
1600,0.9979834335576093,6.010372230113718e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
1700,0.9979833360692435,5.177650456085964e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
1800,0.9979834391554313,5.06245242068335e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
1900,0.9979837281993846,5.518697318491758e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
2000,0.9979842420862045,6.632774405369239e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
2100,0.9979851260863883,8.648452770977677e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
2200,0.9979867483382877,1.1666928962431249e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
2300,0.9979896210272853,1.3804668586400787e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
2400,0.9979930500820692,1.3988443340003749e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
2500,0.9979958985317675,1.3734950153400141e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
2600,0.9979980324112809,1.2760423616974201e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
2700,0.9980008323218376,1.6847942945557787e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
2800,0.9980009249260247,1.3433218006369903e-05,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
2900,0.9980001562399213,9.167733017790386e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
3000,0.9980000584396508,9.053482613469018e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
3100,0.9980000767250966,8.045381185224507e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
3200,0.998000342992666,6.829404284222461e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
3300,0.9980007937399262,6.334493864568836e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
3400,0.9980012647362909,6.068667078517368e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
3500,0.9980016471524845,6.009502097506217e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
3600,0.9980018861567651,6.252564283002252e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
3700,0.9980019349761474,6.734281638292769e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
3800,0.9980017351598631,6.921812031505043e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
3900,0.9980013215542249,6.574749035232381e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
4000,0.9980008618066772,6.093913192231618e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
4100,0.9980004895551732,6.0338661382021975e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
4200,0.998000252806706,6.568364471617059e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
4300,0.9980001871874267,7.1070581324940475e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
4400,0.9980002592919412,6.573136653710594e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
4500,0.9980003638774804,5.29009741969268e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
4600,0.9980004904507216,4.26026466281582e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
4700,0.9980006384506812,3.638572898258934e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
4800,0.9980007930587494,3.271075419414177e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
4900,0.9980009449802378,3.0467370779012466e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
5000,0.9980010917038628,2.9062955164887726e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
5100,0.9980012335111018,2.8204975661891677e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
5200,0.9980013695618136,2.7787598510014003e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
5300,0.9980014947995358,2.78743432506551e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
5400,0.9980015982155757,2.8931696740265134e-06,0.0,0.04850728688176819,0.9,0.0,200,Static Phase Wave
