step,S,V,omega,R,J,K,N,state
0,0.06231391917976403,0.01640838019527359,0.012449317054715924,0.04888972587469947,0.12,0.12,200,Static Async
100,0.07890966772615339,0.0003822898156102321,0.012065413174312357,0.10495836416180336,0.12,0.12,200,Static Async
200,0.12224036847337112,0.0007957467552777541,0.02513061340203109,0.23556125758038562,0.12,0.12,200,Transitioning
300,0.14734772760048664,0.0013083128556959495,0.041664024628725455,0.4888038294792171,0.12,0.12,200,Transitioning
400,0.14284206912984979,0.00044498237145052725,0.03297939052965193,0.7280259801912479,0.12,0.12,200,Transitioning
500,0.10548402486545412,0.00025132335583449297,0.019946090257342418,0.8707851011906154,0.12,0.12,200,Transitioning
600,0.06325259976252603,0.00016976792497030188,0.010224069902124077,0.9458705638157514,0.12,0.12,200,Static Sync
700,0.03562218592392012,0.0001116276993748622,0.004705894826395695,0.9803032474389105,0.12,0.12,200,Static Sync
800,0.0307370042483274,7.508403065513673e-05,0.0021724138794084525,0.9902342583625717,0.12,0.12,200,Static Sync
900,0.025973258215009173,6.053613562356815e-05,0.0015292939677318041,0.9959091002802533,0.12,0.12,200,Static Sync
1000,0.021789358714976545,4.345487674945512e-05,0.0006367575804079762,0.9995606349545295,0.12,0.12,200,Static Sync
1100,0.0211948717012071,2.9790412746348683e-05,0.0001846760975123596,0.9999737582596315,0.12,0.12,200,Static Sync
1200,0.021217844266903936,2.3624731672595337e-05,5.637485234357698e-05,0.9999984839031019,0.12,0.12,200,Static Sync
1300,0.02131288902621299,2.0883840016943577e-05,1.7906069452178208e-05,0.9999999072224571,0.12,0.12,200,Static Sync
1400,0.021417884294003466,1.8368395298941046e-05,5.78293587658596e-06,0.9999999937838779,0.12,0.12,200,Static Sync
1500,0.021519554881237402,1.640750098479517e-05,1.8917461777068212e-06,0.9999999995343918,0.12,0.12,200,Static Sync
1600,0.02161243880830728,1.5604881872772915e-05,6.222548876833045e-07,0.9999999999609911,0.12,0.12,200,Static Sync
1700,0.021693790638954692,1.5329424408071944e-05,2.0580236217426773e-07,0.9999999999964186,0.12,0.12,200,Static Sync
1800,0.021762190972074647,1.523182682757054e-05,6.795204385845465e-08,0.9999999999996495,0.12,0.12,200,Static Sync
1900,0.021817447575628233,1.5155385294766976e-05,2.2437487556814516e-08,0.9999999999999643,0.12,0.12,200,Static Sync
2000,0.021860918211231293,1.5091667299874257e-05,7.40613417260505e-09,0.999999999999996,0.12,0.12,200,Static Sync
2100,0.021895163799996023,1.4930494595883312e-05,2.441800894814605e-09,0.9999999999999994,0.12,0.12,200,Static Sync
2200,0.021922733932351654,1.4561106205559955e-05,8.040385246488313e-10,1.0,0.12,0.12,200,Static Sync
2300,0.02194504111330672,1.4057808620589542e-05,2.644838792420501e-10,1.0,0.12,0.12,200,Static Sync
2400,0.021962284049650758,1.357279316371513e-05,8.69395444524912e-11,1.0,0.12,0.12,200,Static Sync
2500,0.02197409632392119,1.3239617272288091e-05,2.857571956838001e-11,1.0,0.12,0.12,200,Static Sync
2600,0.021980075436440417,1.3037741063036395e-05,9.38933375493889e-12,1.0000000000000002,0.12,0.12,200,Static Sync
2700,0.021980162030440727,1.2812050281690917e-05,3.0840663356457298e-12,1.0000000000000002,0.12,0.12,200,Static Sync
