step,S,V,omega,R,J,K,N,state
0,0.06097996828665533,0.01646027737894656,0.08299544703144018,0.04597293468909971,0.0,-0.8,200,Static Async
100,0.019752062970403446,0.00015302268190623284,0.014459701422446458,0.005018147681248525,0.0,-0.8,200,Static Async
200,0.01636761387360806,7.072257706778339e-05,0.009581959703512855,0.004504094787373533,0.0,-0.8,200,Static Async
300,0.012679673766735127,5.020659122284139e-05,0.007326391023961288,0.003881061569816843,0.0,-0.8,200,Static Async
400,0.009830929161826442,4.699156678064869e-05,0.006019023828334036,0.003277892834394615,0.0,-0.8,200,Static Async
500,0.00756858674097701,4.758501218360963e-05,0.005192286873465868,0.0026974419894408627,0.0,-0.8,200,Static Async
600,0.005667187532637232,4.602555235652205e-05,0.004711412392463021,0.002043521348969965,0.0,-0.8,200,Static Async
700,0.0040747424770966245,3.7277779885355374e-05,0.004376289884730644,0.0014392425243593427,0.0,-0.8,200,Static Async
800,0.003024046581930436,2.9754709730789194e-05,0.00406799296013789,0.0009896930989053835,0.0,-0.8,200,Static Async
900,0.0024472837037773578,2.4992418514269197e-05,0.0037696360028527387,0.0006783739271642673,0.0,-0.8,200,Static Async
1000,0.002239975183135766,2.1698036056841762e-05,0.0035224706867624358,0.0004873449710146642,0.0,-0.8,200,Static Async
1100,0.0023219353916027995,1.919294502990901e-05,0.003318210173204528,0.00039780301257304613,0.0,-0.8,200,Static Async
1200,0.002576596753058079,1.71760393738872e-05,0.0031532789000443097,0.0003750026393041872,0.0,-0.8,200,Static Async
1300,0.0028837667601689498,1.5629446634804515e-05,0.002993058643581703,0.00037995641488253857,0.0,-0.8,200,Static Async
1400,0.0031632160042102428,1.4666853099490249e-05,0.002852166454006144,0.0003901222886590463,0.0,-0.8,200,Static Async
1500,0.00338243842477567,1.4105425985054976e-05,0.0027296503180750608,0.00039841406145579855,0.0,-0.8,200,Static Async
1600,0.0035422293107426547,1.3790415542464811e-05,0.0026250631450710714,0.0004034210699408879,0.0,-0.8,200,Static Async
1700,0.003659928068478392,1.3580732695821968e-05,0.002536001819964562,0.00040470689176945777,0.0,-0.8,200,Static Async
1800,0.003757308150903891,1.3348417998536796e-05,0.002450458793150645,0.00040248351759103376,0.0,-0.8,200,Static Async
1900,0.0038501717299133124,1.2952687906779592e-05,0.0023736766810226627,0.0003976860693677872,0.0,-0.8,200,Static Async
2000,0.003940005431200575,1.2310792592508344e-05,0.002306957960768874,0.0003911178776449052,0.0,-0.8,200,Static Async
2100,0.004016408336624751,1.1421946646906593e-05,0.002238467527495325,0.0003829376327515397,0.0,-0.8,200,Static Async
2200,0.0040691137883161746,1.0389997937710271e-05,0.0021609437454166436,0.00037336909685430433,0.0,-0.8,200,Static Async
2300,0.004095267824334733,9.336743125912912e-06,0.0020757501799243626,0.0003632998747356556,0.0,-0.8,200,Static Async
2400,0.004097301565203732,8.37684470475735e-06,0.0019906281908805834,0.0003538614945962706,0.0,-0.8,200,Static Async
2500,0.004078236573431603,7.559168784352135e-06,0.0019071906888801892,0.0003456986300926933,0.0,-0.8,200,Static Async
2600,0.004039768562215155,6.904373714713541e-06,0.0018249658751720021,0.0003386852660529636,0.0,-0.8,200,Static Async
2700,0.0039831109991988,6.412469814901078e-06,0.0017439720429890393,0.0003322100690100578,0.0,-0.8,200,Static Async
2800,0.003910355159263046,6.029208827137791e-06,0.001668085696966748,0.00032566100361006975,0.0,-0.8,200,Static Async
2900,0.003824955030245778,5.708458757879656e-06,0.001596036462551309,0.00031871670620624965,0.0,-0.8,200,Static Async
3000,0.0037313354209140954,5.407086103866021e-06,0.0015270599288929043,0.00031137325884970116,0.0,-0.8,200,Static Async
3100,0.0036341941599913187,5.108914369126335e-06,0.0014665588511390214,0.0003038510193193072,0.0,-0.8,200,Static Async
3200,0.003537930556610347,4.8166240756066255e-06,0.001412139457933792,0.0002965050930666086,0.0,-0.8,200,Static Async
3300,0.003446315659964734,4.545275183973613e-06,0.0013627001042038956,0.0002897653621328962,0.0,-0.8,200,Static Async
3400,0.003362351542672733,4.331991230134538e-06,0.00132148929105238,0.00028408690761368355,0.0,-0.8,200,Static Async
3500,0.0032882630906645146,4.2036719545142504e-06,0.0012879151286196988,0.0002799024461401043,0.0,-0.8,200,Static Async
3600,0.003259283852457746,4.1761914146219055e-06,0.001259377958448038,0.00027758929909505863,0.0,-0.8,200,Static Async
3700,0.0032963496258981277,4.272090685611632e-06,0.0012358209584165003,0.00027747074489417313,0.0,-0.8,200,Static Async
3800,0.0033429994992090783,4.53536451500719e-06,0.0012172081527250579,0.00027986539487507623,0.0,-0.8,200,Static Async
3900,0.0034040320876889264,5.026914067198149e-06,0.001203578889417134,0.0002851701697275072,0.0,-0.8,200,Static Async
