step,S,V,omega,R,J,K,N,state
0,0.06284088140708535,0.012305992165403267,0.027882354852709512,0.08997928275723592,0.0,-0.24,200,Static Async
100,0.04039149867594668,0.00015973711949969876,0.007839765272587607,0.01815432636810001,0.0,-0.24,200,Static Async
200,0.02554226115171379,8.593895072677434e-05,0.005686368237127826,0.006661511561655189,0.0,-0.24,200,Static Async
300,0.015300466769838332,5.9702356693553876e-05,0.004543078958763114,0.004552264069851566,0.0,-0.24,200,Static Async
400,0.00896975574123503,4.736166263427311e-05,0.003848676577606014,0.00399846246842236,0.0,-0.24,200,Static Async
500,0.005875730265995376,4.030817308353486e-05,0.0033577340685316814,0.0037558415854920526,0.0,-0.24,200,Static Async
600,0.005109574650985296,3.4879350316085435e-05,0.0029828435822907063,0.0036183053839781393,0.0,-0.24,200,Static Async
700,0.004655060455120304,2.958831831574466e-05,0.002700423806635732,0.003530079055025061,0.0,-0.24,200,Static Async
800,0.004382673077272537,2.4372318765439107e-05,0.002474806426709586,0.003464066623181012,0.0,-0.24,200,Static Async
900,0.004254433950761517,1.996784298172268e-05,0.0022840822837881802,0.0034032425993693054,0.0,-0.24,200,Static Async
1000,0.00424936545333446,1.658450093623164e-05,0.0021354482471365177,0.003334873668763221,0.0,-0.24,200,Static Async
1100,0.0043336169886111185,1.4089605094575586e-05,0.002007673893415407,0.0032534492432874213,0.0,-0.24,200,Static Async
1200,0.004471510972375586,1.2348400245615933e-05,0.0018949783460143089,0.003162281490688299,0.0,-0.24,200,Static Async
1300,0.004638950478860326,1.1095101805584385e-05,0.001793381148359008,0.003071209688171641,0.0,-0.24,200,Static Async
1400,0.004821398768282677,1.0140299361077461e-05,0.0016967591848525254,0.002991928089808513,0.0,-0.24,200,Static Async
1500,0.005008669943702735,9.359333057749504e-06,0.0016044466522763701,0.002933407521106551,0.0,-0.24,200,Static Async
1600,0.00519270241292159,8.714193501723123e-06,0.0015183967640700845,0.002899578135097043,0.0,-0.24,200,Static Async
1700,0.005367239163432171,8.193906158451112e-06,0.0014388930000840405,0.0028896740590623666,0.0,-0.24,200,Static Async
1800,0.005527801677681992,7.778302830821423e-06,0.0013650008603802942,0.002900056084422739,0.0,-0.24,200,Static Async
1900,0.005671503322428944,7.4499744106903725e-06,0.0012976247291356159,0.002926090988856437,0.0,-0.24,200,Static Async
