N,J,K,seed,transient_time
100,0.01,-0.27,2,0
100,0.01,-0.28,0,0
100,0.01,-0.28,1,910
100,0.01,-0.28,2,0
100,0.01,-0.29000000000000004,0,0
100,0.01,-0.29000000000000004,1,850
100,0.01,-0.29000000000000004,2,0
100,0.01,-0.30000000000000004,0,0
100,0.01,-0.30000000000000004,1,790
100,0.01,-0.30000000000000004,2,0
100,0.01,-0.31000000000000005,0,0
100,0.01,-0.31000000000000005,1,0
100,0.01,-0.31000000000000005,2,0
100,0.01,-0.32000000000000006,0,0
100,0.01,-0.32000000000000006,1,0
100,0.01,-0.32000000000000006,2,0
100,0.01,-0.33,0,0
100,0.01,-0.33,1,0
100,0.01,-0.33,2,0
100,0.01,-0.34,0,0
100,0.01,-0.34,1,0
100,0.01,-0.34,2,0
100,0.01,-0.35000000000000003,0,0
100,0.01,-0.35000000000000003,1,0
100,0.01,-0.35000000000000003,2,0
100,0.01,-0.36000000000000004,0,0
100,0.01,-0.36000000000000004,1,9942
100,0.01,-0.36000000000000004,2,0
100,0.01,-0.37000000000000005,0,0
100,0.01,-0.37000000000000005,1,9950
100,0.01,-0.37000000000000005,2,0
100,0.01,-0.38000000000000006,0,0
100,0.01,-0.38000000000000006,1,0
100,0.01,-0.38000000000000006,2,0
100,0.01,-0.39,0,0
100,0.01,-0.39,1,0
100,0.01,-0.39,2,0
100,0.01,-0.41000000000000003,0,0
100,0.01,-0.41000000000000003,1,3950
100,0.01,-0.41000000000000003,2,0
100,0.01,-0.42000000000000004,0,0
100,0.01,-0.42000000000000004,1,3900
100,0.01,-0.42000000000000004,2,0
100,0.01,-0.43000000000000005,0,0
100,0.01,-0.43000000000000005,1,0
100,0.01,-0.43000000000000005,2,0
100,0.01,-0.44000000000000006,0,0
100,0.01,-0.44000000000000006,1,0
100,0.01,-0.44000000000000006,2,0
100,0.01,-0.45,0,0
100,0.01,-0.45,1,0
100,0.01,-0.45,2,0
100,0.01,-0.46,0,0
100,0.01,-0.46,1,0
100,0.01,-0.46,2,0
100,0.01,-0.47000000000000003,0,0
100,0.01,-0.47000000000000003,1,0
100,0.01,-0.47000000000000003,2,0
100,0.01,-0.48000000000000004,0,0
100,0.01,-0.48000000000000004,1,0
100,0.01,-0.48000000000000004,2,0
100,0.01,-0.49000000000000005,0,0
100,0.01,-0.49000000000000005,1,3930
100,0.01,-0.49000000000000005,2,0
100,0.01,-0.4,0,0
100,0.01,-0.4,1,0
100,0.01,-0.4,2,0
100,0.01,-0.51,0,0
100,0.01,-0.51,1,3900
100,0.01,-0.51,2,0
100,0.01,-0.52,0,0
100,0.01,-0.52,1,3880
100,0.01,-0.52,2,0
100,0.01,-0.53,0,0
100,0.01,-0.53,1,3870
100,0.01,-0.53,2,0
100,0.01,-0.54,0,0
100,0.01,-0.54,1,3850
100,0.01,-0.54,2,0
100,0.01,-0.55,0,0
100,0.01,-0.55,1,3840
100,0.01,-0.55,2,0
100,0.01,-0.56,0,0
100,0.01,-0.56,1,3840
100,0.01,-0.56,2,0
100,0.01,-0.5700000000000001,0,0
100,0.01,-0.5700000000000001,1,3810
100,0.01,-0.5700000000000001,2,0
100,0.01,-0.5800000000000001,0,0
100,0.01,-0.5800000000000001,1,3800
100,0.01,-0.5800000000000001,2,0
100,0.01,-0.5900000000000001,0,0
100,0.01,-0.5900000000000001,1,0
100,0.01,-0.5900000000000001,2,0
100,0.01,-0.5,0,0
100,0.01,-0.5,1,3920
100,0.01,-0.5,2,0
100,0.01,-0.6000000000000001,0,0
100,0.01,-0.6000000000000001,1,0
100,0.01,-0.6000000000000001,2,0
100,0.01,-0.6100000000000001,0,0
100,0.01,-0.6100000000000001,1,0
100,0.01,-0.6100000000000001,2,0
100,0.01,-0.6200000000000001,0,0
100,0.01,-0.6200000000000001,1,0
100,0.01,-0.6200000000000001,2,0
100,0.01,-0.63,0,0
100,0.01,-0.63,1,0
100,0.01,-0.63,2,0
100,0.01,-0.64,0,0
100,0.01,-0.64,1,0
100,0.01,-0.64,2,0
100,0.01,-0.65,0,0
100,0.01,-0.65,1,0
100,0.01,-0.65,2,0
100,0.01,-0.66,0,0
100,0.01,-0.66,1,0
100,0.01,-0.66,2,0
100,0.01,-0.67,0,0
100,0.01,-0.67,1,0
100,0.01,-0.67,2,0
100,0.01,-0.68,0,0
100,0.01,-0.68,1,0
100,0.01,-0.68,2,0
100,0.01,-0.6900000000000001,0,0
100,0.01,-0.6900000000000001,1,0
100,0.01,-0.6900000000000001,2,0
100,0.01,-0.7000000000000001,0,0
100,0.01,-0.7000000000000001,1,0
100,0.01,-0.7000000000000001,2,0
