N,J,K,seed,transient_time,converged,window_size,threshold
140,0.2,-0.5,0,65,True,50,0.01
140,0.2,-0.5,1,90,True,50,0.01
140,0.2,-0.5,10,90,True,50,0.01
140,0.2,-0.5,11,53,True,50,0.01
140,0.2,-0.5,12,98,True,50,0.01
140,0.2,-0.5,13,87,True,50,0.01
140,0.2,-0.5,14,72,True,50,0.01
140,0.2,-0.5,15,85,True,50,0.01
140,0.2,-0.5,16,77,True,50,0.01
140,0.2,-0.5,17,60,True,50,0.01
140,0.2,-0.5,18,97,True,50,0.01
140,0.2,-0.5,19,88,True,50,0.01
140,0.2,-0.5,2,63,True,50,0.01
140,0.2,-0.5,20,81,True,50,0.01
140,0.2,-0.5,21,92,True,50,0.01
140,0.2,-0.5,22,55,True,50,0.01
140,0.2,-0.5,23,105,True,50,0.01
140,0.2,-0.5,24,70,True,50,0.01
140,0.2,-0.5,25,55,True,50,0.01
140,0.2,-0.5,26,92,True,50,0.01
140,0.2,-0.5,27,63,True,50,0.01
140,0.2,-0.5,28,86,True,50,0.01
140,0.2,-0.5,29,83,True,50,0.01
140,0.2,-0.5,3,73,True,50,0.01
140,0.2,-0.5,4,58,True,50,0.01
140,0.2,-0.5,5,87,True,50,0.01
140,0.2,-0.5,6,55,True,50,0.01
140,0.2,-0.5,7,91,True,50,0.01
140,0.2,-0.5,8,71,True,50,0.01
140,0.2,-0.5,9,79,True,50,0.01
150,0.2,-0.5,0,74,True,50,0.01
150,0.2,-0.5,1,103,True,50,0.01
150,0.2,-0.5,10,56,True,50,0.01
150,0.2,-0.5,11,100,True,50,0.01
150,0.2,-0.5,12,91,True,50,0.01
150,0.2,-0.5,13,76,True,50,0.01
150,0.2,-0.5,14,62,True,50,0.01
150,0.2,-0.5,15,83,True,50,0.01
150,0.2,-0.5,16,101,True,50,0.01
150,0.2,-0.5,17,69,True,50,0.01
150,0.2,-0.5,18,89,True,50,0.01
150,0.2,-0.5,19,76,True,50,0.01
150,0.2,-0.5,2,67,True,50,0.01
150,0.2,-0.5,20,67,True,50,0.01
150,0.2,-0.5,21,71,True,50,0.01
150,0.2,-0.5,22,55,True,50,0.01
150,0.2,-0.5,23,50,True,50,0.01
150,0.2,-0.5,24,95,True,50,0.01
150,0.2,-0.5,25,103,True,50,0.01
150,0.2,-0.5,26,60,True,50,0.01
150,0.2,-0.5,27,85,True,50,0.01
150,0.2,-0.5,28,62,True,50,0.01
150,0.2,-0.5,29,66,True,50,0.01
150,0.2,-0.5,3,52,True,50,0.01
150,0.2,-0.5,4,73,True,50,0.01
150,0.2,-0.5,5,70,True,50,0.01
150,0.2,-0.5,6,54,True,50,0.01
150,0.2,-0.5,7,50,True,50,0.01
150,0.2,-0.5,8,98,True,50,0.01
150,0.2,-0.5,9,98,True,50,0.01
160,0.2,-0.5,0,57,True,50,0.01
160,0.2,-0.5,1,62,True,50,0.01
160,0.2,-0.5,10,67,True,50,0.01
160,0.2,-0.5,11,81,True,50,0.01
160,0.2,-0.5,12,72,True,50,0.01
160,0.2,-0.5,13,88,True,50,0.01
160,0.2,-0.5,14,62,True,50,0.01
160,0.2,-0.5,15,54,True,50,0.01
160,0.2,-0.5,16,78,True,50,0.01
160,0.2,-0.5,17,58,True,50,0.01
160,0.2,-0.5,18,56,True,50,0.01
160,0.2,-0.5,19,78,True,50,0.01
160,0.2,-0.5,2,63,True,50,0.01
160,0.2,-0.5,20,66,True,50,0.01
160,0.2,-0.5,21,82,True,50,0.01
160,0.2,-0.5,22,59,True,50,0.01
160,0.2,-0.5,23,83,True,50,0.01
160,0.2,-0.5,24,74,True,50,0.01
160,0.2,-0.5,25,122,True,50,0.01
160,0.2,-0.5,26,66,True,50,0.01
160,0.2,-0.5,27,63,True,50,0.01
160,0.2,-0.5,28,93,True,50,0.01
160,0.2,-0.5,29,66,True,50,0.01
160,0.2,-0.5,3,54,True,50,0.01
160,0.2,-0.5,4,79,True,50,0.01
160,0.2,-0.5,5,56,True,50,0.01
160,0.2,-0.5,6,73,True,50,0.01
160,0.2,-0.5,7,71,True,50,0.01
160,0.2,-0.5,8,75,True,50,0.01
160,0.2,-0.5,9,75,True,50,0.01
170,0.2,-0.5,0,75,True,50,0.01
170,0.2,-0.5,1,63,True,50,0.01
170,0.2,-0.5,10,57,True,50,0.01
170,0.2,-0.5,11,51,True,50,0.01
170,0.2,-0.5,12,80,True,50,0.01
170,0.2,-0.5,13,91,True,50,0.01
170,0.2,-0.5,14,87,True,50,0.01
170,0.2,-0.5,15,50,True,50,0.01
170,0.2,-0.5,16,53,True,50,0.01
170,0.2,-0.5,17,83,True,50,0.01
170,0.2,-0.5,18,59,True,50,0.01
170,0.2,-0.5,19,54,True,50,0.01
170,0.2,-0.5,2,87,True,50,0.01
170,0.2,-0.5,20,66,True,50,0.01
170,0.2,-0.5,21,50,True,50,0.01
170,0.2,-0.5,22,57,True,50,0.01
170,0.2,-0.5,23,84,True,50,0.01
170,0.2,-0.5,24,94,True,50,0.01
170,0.2,-0.5,25,97,True,50,0.01
170,0.2,-0.5,26,69,True,50,0.01
170,0.2,-0.5,27,70,True,50,0.01
170,0.2,-0.5,28,60,True,50,0.01
170,0.2,-0.5,29,99,True,50,0.01
170,0.2,-0.5,3,50,True,50,0.01
170,0.2,-0.5,4,55,True,50,0.01
170,0.2,-0.5,5,68,True,50,0.01
170,0.2,-0.5,6,50,True,50,0.01
170,0.2,-0.5,7,65,True,50,0.01
170,0.2,-0.5,8,75,True,50,0.01
170,0.2,-0.5,9,50,True,50,0.01
180,0.2,-0.5,0,53,True,50,0.01
180,0.2,-0.5,1,55,True,50,0.01
180,0.2,-0.5,10,74,True,50,0.01
180,0.2,-0.5,11,103,True,50,0.01
180,0.2,-0.5,12,54,True,50,0.01
180,0.2,-0.5,13,81,True,50,0.01
180,0.2,-0.5,14,78,True,50,0.01
180,0.2,-0.5,15,88,True,50,0.01
180,0.2,-0.5,16,58,True,50,0.01
180,0.2,-0.5,17,59,True,50,0.01
180,0.2,-0.5,18,100,True,50,0.01
180,0.2,-0.5,19,75,True,50,0.01
180,0.2,-0.5,2,64,True,50,0.01
180,0.2,-0.5,20,83,True,50,0.01
180,0.2,-0.5,21,105,True,50,0.01
180,0.2,-0.5,22,97,True,50,0.01
180,0.2,-0.5,23,90,True,50,0.01
180,0.2,-0.5,24,74,True,50,0.01
180,0.2,-0.5,25,81,True,50,0.01
180,0.2,-0.5,26,64,True,50,0.01
180,0.2,-0.5,27,69,True,50,0.01
180,0.2,-0.5,28,70,True,50,0.01
180,0.2,-0.5,29,100,True,50,0.01
180,0.2,-0.5,3,50,True,50,0.01
180,0.2,-0.5,4,82,True,50,0.01
180,0.2,-0.5,5,82,True,50,0.01
180,0.2,-0.5,6,61,True,50,0.01
180,0.2,-0.5,7,111,True,50,0.01
180,0.2,-0.5,8,97,True,50,0.01
180,0.2,-0.5,9,55,True,50,0.01
190,0.2,-0.5,0,58,True,50,0.01
190,0.2,-0.5,1,103,True,50,0.01
190,0.2,-0.5,10,89,True,50,0.01
190,0.2,-0.5,11,77,True,50,0.01
190,0.2,-0.5,12,51,True,50,0.01
190,0.2,-0.5,13,67,True,50,0.01
190,0.2,-0.5,14,66,True,50,0.01
190,0.2,-0.5,15,50,True,50,0.01
190,0.2,-0.5,16,77,True,50,0.01
190,0.2,-0.5,17,53,True,50,0.01
190,0.2,-0.5,18,56,True,50,0.01
190,0.2,-0.5,19,58,True,50,0.01
190,0.2,-0.5,2,84,True,50,0.01
190,0.2,-0.5,20,70,True,50,0.01
190,0.2,-0.5,21,63,True,50,0.01
190,0.2,-0.5,22,52,True,50,0.01
190,0.2,-0.5,23,95,True,50,0.01
190,0.2,-0.5,24,69,True,50,0.01
190,0.2,-0.5,25,81,True,50,0.01
190,0.2,-0.5,26,54,True,50,0.01
190,0.2,-0.5,27,81,True,50,0.01
190,0.2,-0.5,28,87,True,50,0.01
190,0.2,-0.5,29,58,True,50,0.01
190,0.2,-0.5,3,77,True,50,0.01
190,0.2,-0.5,4,92,True,50,0.01
190,0.2,-0.5,5,67,True,50,0.01
190,0.2,-0.5,6,117,True,50,0.01
190,0.2,-0.5,7,77,True,50,0.01
190,0.2,-0.5,8,56,True,50,0.01
190,0.2,-0.5,9,64,True,50,0.01
200,0.2,-0.5,0,52,True,50,0.01
200,0.2,-0.5,1,60,True,50,0.01
200,0.2,-0.5,10,82,True,50,0.01
200,0.2,-0.5,11,71,True,50,0.01
200,0.2,-0.5,12,72,True,50,0.01
200,0.2,-0.5,13,65,True,50,0.01
200,0.2,-0.5,14,82,True,50,0.01
200,0.2,-0.5,15,58,True,50,0.01
200,0.2,-0.5,16,73,True,50,0.01
200,0.2,-0.5,17,53,True,50,0.01
200,0.2,-0.5,18,53,True,50,0.01
200,0.2,-0.5,19,59,True,50,0.01
200,0.2,-0.5,2,61,True,50,0.01
200,0.2,-0.5,20,69,True,50,0.01
200,0.2,-0.5,21,65,True,50,0.01
200,0.2,-0.5,22,60,True,50,0.01
200,0.2,-0.5,23,50,True,50,0.01
200,0.2,-0.5,24,65,True,50,0.01
200,0.2,-0.5,25,78,True,50,0.01
200,0.2,-0.5,26,59,True,50,0.01
200,0.2,-0.5,27,82,True,50,0.01
200,0.2,-0.5,28,56,True,50,0.01
200,0.2,-0.5,29,50,True,50,0.01
200,0.2,-0.5,3,68,True,50,0.01
200,0.2,-0.5,4,79,True,50,0.01
200,0.2,-0.5,5,80,True,50,0.01
200,0.2,-0.5,6,92,True,50,0.01
200,0.2,-0.5,7,73,True,50,0.01
200,0.2,-0.5,8,54,True,50,0.01
200,0.2,-0.5,9,90,True,50,0.01
210,0.2,-0.5,0,51,True,50,0.01
210,0.2,-0.5,1,60,True,50,0.01
210,0.2,-0.5,10,78,True,50,0.01
210,0.2,-0.5,11,52,True,50,0.01
210,0.2,-0.5,12,66,True,50,0.01
210,0.2,-0.5,13,68,True,50,0.01
210,0.2,-0.5,14,92,True,50,0.01
210,0.2,-0.5,15,50,True,50,0.01
210,0.2,-0.5,16,80,True,50,0.01
210,0.2,-0.5,17,79,True,50,0.01
210,0.2,-0.5,18,57,True,50,0.01
210,0.2,-0.5,19,59,True,50,0.01
210,0.2,-0.5,2,60,True,50,0.01
210,0.2,-0.5,20,65,True,50,0.01
210,0.2,-0.5,21,79,True,50,0.01
210,0.2,-0.5,22,50,True,50,0.01
210,0.2,-0.5,23,77,True,50,0.01
210,0.2,-0.5,24,74,True,50,0.01
210,0.2,-0.5,25,72,True,50,0.01
210,0.2,-0.5,26,76,True,50,0.01
210,0.2,-0.5,27,71,True,50,0.01
210,0.2,-0.5,28,50,True,50,0.01
210,0.2,-0.5,29,50,True,50,0.01
210,0.2,-0.5,3,50,True,50,0.01
210,0.2,-0.5,4,61,True,50,0.01
210,0.2,-0.5,5,50,True,50,0.01
210,0.2,-0.5,6,89,True,50,0.01
210,0.2,-0.5,7,50,True,50,0.01
210,0.2,-0.5,8,56,True,50,0.01
210,0.2,-0.5,9,55,True,50,0.01
220,0.2,-0.5,0,54,True,50,0.01
220,0.2,-0.5,1,77,True,50,0.01
220,0.2,-0.5,10,62,True,50,0.01
220,0.2,-0.5,11,84,True,50,0.01
220,0.2,-0.5,12,78,True,50,0.01
220,0.2,-0.5,13,100,True,50,0.01
220,0.2,-0.5,14,65,True,50,0.01
220,0.2,-0.5,15,73,True,50,0.01
220,0.2,-0.5,16,55,True,50,0.01
220,0.2,-0.5,17,57,True,50,0.01
220,0.2,-0.5,18,80,True,50,0.01
220,0.2,-0.5,19,81,True,50,0.01
220,0.2,-0.5,2,57,True,50,0.01
220,0.2,-0.5,20,77,True,50,0.01
220,0.2,-0.5,21,71,True,50,0.01
220,0.2,-0.5,22,67,True,50,0.01
220,0.2,-0.5,23,82,True,50,0.01
220,0.2,-0.5,24,72,True,50,0.01
220,0.2,-0.5,25,56,True,50,0.01
220,0.2,-0.5,26,67,True,50,0.01
220,0.2,-0.5,27,74,True,50,0.01
220,0.2,-0.5,28,56,True,50,0.01
220,0.2,-0.5,29,56,True,50,0.01
220,0.2,-0.5,3,65,True,50,0.01
220,0.2,-0.5,4,76,True,50,0.01
220,0.2,-0.5,5,50,True,50,0.01
220,0.2,-0.5,6,82,True,50,0.01
220,0.2,-0.5,7,50,True,50,0.01
220,0.2,-0.5,8,57,True,50,0.01
220,0.2,-0.5,9,83,True,50,0.01
230,0.2,-0.5,0,50,True,50,0.01
230,0.2,-0.5,1,63,True,50,0.01
230,0.2,-0.5,10,50,True,50,0.01
230,0.2,-0.5,11,80,True,50,0.01
230,0.2,-0.5,12,73,True,50,0.01
230,0.2,-0.5,13,99,True,50,0.01
230,0.2,-0.5,14,76,True,50,0.01
230,0.2,-0.5,15,85,True,50,0.01
230,0.2,-0.5,16,50,True,50,0.01
230,0.2,-0.5,17,61,True,50,0.01
230,0.2,-0.5,18,50,True,50,0.01
230,0.2,-0.5,19,57,True,50,0.01
230,0.2,-0.5,2,65,True,50,0.01
230,0.2,-0.5,20,67,True,50,0.01
230,0.2,-0.5,21,50,True,50,0.01
230,0.2,-0.5,22,66,True,50,0.01
230,0.2,-0.5,23,86,True,50,0.01
230,0.2,-0.5,24,55,True,50,0.01
230,0.2,-0.5,25,51,True,50,0.01
230,0.2,-0.5,26,58,True,50,0.01
230,0.2,-0.5,27,61,True,50,0.01
230,0.2,-0.5,28,53,True,50,0.01
230,0.2,-0.5,29,50,True,50,0.01
230,0.2,-0.5,3,51,True,50,0.01
230,0.2,-0.5,4,89,True,50,0.01
230,0.2,-0.5,5,67,True,50,0.01
230,0.2,-0.5,6,78,True,50,0.01
230,0.2,-0.5,7,54,True,50,0.01
230,0.2,-0.5,8,50,True,50,0.01
230,0.2,-0.5,9,59,True,50,0.01
