hunting_strength,step,S,V,omega,R,state
0.0,0,0.9969446409395895,6.103462916587864e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,50,0.9969446116210642,3.0442623056035958e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,100,0.9969445833397222,3.02795628355237e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,150,0.9969445559320808,3.0073354849445636e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,200,0.996944529280035,2.9813000320081713e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,250,0.9969445033004736,2.9495516530329493e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,300,0.99694447793719,2.9122231117864745e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,350,0.9969444531545625,2.8695473791608552e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,400,0.9969444289325902,2.8217960770651667e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,450,0.9969444052629738,2.7692651847004808e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,500,0.9969443821459943,2.712272518470538e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,550,0.9969443595880153,2.6511578174551466e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,600,0.9969443375994724,2.58628242941015e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,650,0.9969443161932529,2.5180277319974818e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,700,0.9969442953833851,2.4467922329910683e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,750,0.9969442751839932,2.3729875856051703e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,800,0.9969442556084629,2.2970338396923793e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,850,0.9969442366687934,2.2193542512218657e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,900,0.9969442183751075,2.140369941962249e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,950,0.9969442007352957,2.0604946591579803e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1000,0.9969441837547814,1.980129839132334e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1050,0.9969441674363826,1.8996601332304625e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1100,0.9969441517802631,1.819449510837698e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1150,0.9969441367839555,1.7398380134961495e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1200,0.9969441224424435,1.6611391978616443e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1250,0.9969441087482914,1.5836382732522757e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1300,0.9969440956918141,1.5075909133044341e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1350,0.9969440832612698,1.4332226998317625e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1400,0.9969440714430743,1.3607291414689014e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1450,0.9969440602220262,1.2902761987545325e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1500,0.9969440495815342,1.222001241275581e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1550,0.9969440395038452,1.1560143600329506e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1600,0.9969440299702637,1.092399959382481e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1650,0.9969440209613638,1.0312185564094849e-05,0.0,0.07139686529200558,Static Phase Wave
0.0,1700,0.9969440124571878,9.725087209264496e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,1750,0.9969440044374287,9.162890965634534e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,1800,0.9969439968816002,8.625604504422674e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,1850,0.9969439897691861,8.113077076500527e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,1900,0.9969439830797768,7.625019339794562e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,1950,0.9969439767931857,7.161022383454141e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2000,0.9969439708895529,6.720575730890253e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2050,0.9969439653494314,6.303084164505434e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2100,0.9969439601538591,5.907883270069532e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2150,0.9969439552844193,5.534253646025295e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2200,0.9969439507232863,5.181433758793325e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2250,0.9969439464532631,4.848631458303388e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2300,0.9969439424578067,4.535034192634491e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2350,0.9969439387210465,4.2398179791186114e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2400,0.996943935227793,3.9621552013903394e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2450,0.9969439319635426,3.701221314319055e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2500,0.9969439289144747,3.456200540358176e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2550,0.9969439260674438,3.226290646264211e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2600,0.9969439234099696,3.010706886692223e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2650,0.9969439209302212,2.80868520184754e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2700,0.9969439186170012,2.619484750140412e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2750,0.9969439164597251,2.442389854472404e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2800,0.9969439144484009,2.2767114351871763e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2850,0.9969439125736069,2.1217879968733586e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2900,0.9969439108264689,1.976986230850623e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,2950,0.9969439091986367,1.8417012898545832e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,3000,0.9969439076822597,1.7153567854419508e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,3050,0.9969439062699649,1.597404552861546e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,3100,0.9969439049548308,1.4873242250430996e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,3150,0.9969439037303675,1.3846226495947295e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,3200,0.9969439025904916,1.288833181669632e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,3250,0.9969439015295052,1.1995148785927408e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,3300,0.9969439005420748,1.1162516202232233e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,3350,0.99694389962321,1.0386511761985719e-06,0.0,0.07139686529200558,Static Phase Wave
0.0,3400,0.9969438987682445,9.663442356650753e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,3450,0.9969438979728164,8.989834160956888e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,3500,0.9969438972328509,8.362422617051568e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,3550,0.9969438965445421,7.778142432308904e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,3600,0.9969438959043371,7.234117669870405e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,3650,0.9969438953089199,6.72765199629408e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,3700,0.9969438947551971,6.256219154902817e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,3750,0.9969438942402834,5.817453690285783e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,3800,0.9969438937614883,5.409141976465794e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,3850,0.9969438933163045,5.029213562575012e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,3900,0.9969438929023947,4.6757328521938995e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,3950,0.9969438925175803,4.34689113610084e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4000,0.9969438921598338,4.0409989792514195e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4050,0.9969438918272651,3.7564789626541036e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4100,0.9969438915181147,3.4918587852983324e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4150,0.9969438912307441,3.2457647110973526e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4200,0.9969438909636287,3.0169153658429557e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4250,0.9969438907153483,2.8041158651603914e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4300,0.9969438904845821,2.606252271871635e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4350,0.9969438902701004,2.422286365044266e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4400,0.9969438900707595,2.251250712877189e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4450,0.9969438898854945,2.0922440358928445e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4500,0.9969438897133159,1.944426846736684e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4550,0.9969438895533026,1.8070173525897243e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4600,0.9969438894045975,1.6792876175733618e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4650,0.9969438892664041,1.560559953570555e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4700,0.9969438891379819,1.450203542599845e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4750,0.9969438890186415,1.3476312780924616e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4800,0.9969438889077422,1.2522967994845637e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4850,0.9969438888046885,1.1636917246376787e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4900,0.9969438887089267,1.081343061610631e-07,0.0,0.07139686529200558,Static Phase Wave
0.0,4950,0.9969438886199415,1.0048107878808377e-07,0.0,0.07139686529200558,Static Phase Wave
